idx,process,process_general,origin,origin_region,roast,grind,arabica_percentage,pure_arabica,washed,natural,fermented_traditional,fermented_closed_tank,brewing_method
0,Monsooning,Monsooning,Laos,Asia,light,beans,100,TRUE,FALSE,FALSE,FALSE,FALSE,drip
1,Natural,Natural,Brazylia,Latam,medium,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
2,Natural,Natural,Etiopia,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
3,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
4,Natural,Natural,Indonezja,Asia,dark,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
5,Natural,Natural,Brazylia,Latam,medium,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
6,Washed,Washed,Kenia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
7,Carbonic Maceration,Fermented,Panama,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,TRUE,drip
8,Semi-washed,Semi-washed,Kolumbia,Latam,light,ground,100,TRUE,TRUE,FALSE,TRUE,FALSE,drip
9,Washed,Washed,Salwador,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
10,Honey,Honey,Boliwia,Latam,light,beans,100,TRUE,TRUE,TRUE,TRUE,FALSE,drip
11,Honey,Honey,Honduras,Latam,light,beans,100,TRUE,TRUE,TRUE,TRUE,FALSE,drip
12,Natural,Natural,Brazylia,Latam,medium,ground,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
13,Natural,Natural,Burundi,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
14,Washed,Washed,Burundi,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
15,Natural,Natural,Etiopia,Africa,light,ground,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
16,Washed,Washed,Gwatemala,Latam,light,ground,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
17,Natural,Natural,Honduras,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
18,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
19,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
20,Washed,Washed,Etiopia,Africa,medium,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
21,Natural,Natural,"Kenia, Indie",Mixed,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
22,Monsooning,Monsooning,Laos,Asia,light,beans,100,TRUE,FALSE,FALSE,FALSE,FALSE,drip
23,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
24,Natural,Natural,Kolumbia,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
25,Washed,Washed,"Brazylia, inne",Mixed,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
26,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
27,Washed Anaerobic,Fermented,Honduras,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,TRUE,drip
28,Honey,Honey,Indie,Asia,light,beans,100,TRUE,TRUE,TRUE,TRUE,FALSE,drip
29,Washed,Washed,Peru,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
30,Washed,Washed,Rwanda,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
31,Washed,Washed,Rwanda,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
32,Natural,Natural,Etiopia,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
33,Washed,Washed,Gwatemala,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
34,Anaerobic,Fermented,Honduras,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,TRUE,drip
35,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
36,Carbonic Maceration,Fermented,Gwatemala,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,TRUE,drip
37,Carbonic Maceration,Fermented,Gwatemala,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,TRUE,drip
